Frequency (Hz),RCS (m²)
39278737474.9499,5.0990412806830926e-05
39358877755.51102,5.063797351362556e-05
39439018036.07214,5.0349733441105554e-05
39519158316.63326,5.0125879719367847e-05
39599298597.19439,4.996647851509025e-05
39679438877.75551,4.987147572017787e-05
39759579158.31663,4.9840697836594876e-05
39839719438.877754,4.987385305290996e-05
39919859719.43887,4.997053250806365e-05
40000000000.0,5.0130211737857156e-05
